自治体,タイトル,URL,取得日
埼玉県,埼玉県市町村DX推進支援業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0105/shichoson_dx_shien_r8.html,2026-05-02
埼玉県,令和8年度埼玉県主任介護支援専門員レベルアップ研修事業業務委託契約に係る企画提案の公募（プロポーザル）,https://www.pref.saitama.lg.jp/a0603/caremanager/r6-syunin-levelup.html,2026-05-02
埼玉県,【委託先候補者決定】長瀞射撃場の施設のあり方調査業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0508/nagatoroarikata-koubo.html,2026-05-02
埼玉県,埼玉スタジアム2002公園、熊谷スポーツ文化公園ネーミングライツ公募事務委託 簡易公募型プロポーザルの実施について［公園スタジアム課］,https://www.pref.saitama.lg.jp/a1105/tokorozawa/namingrightskobojimuitaku.html,2026-05-02
埼玉県,「令和8年度県内中小企業のためのデジタル人材育成事業業務委託」企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0811/dizitaljinzai/r8dizitalkikakuteian.html,2026-05-02
埼玉県,令和8年度埼玉県輸出未経験者支援事業業務委託に係る企画提案競技について,https://www.pref.saitama.lg.jp/a0902/r8_mikeiken.html,2026-05-02
埼玉県,【募集終了】令和6年度埼玉県こころの健康相談統一ダイヤル休日・夜間事業業務に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0705/kikakuteiantoitudial.html,2026-05-02
埼玉県,【募集終了】令和5年度埼玉県こころの健康相談統一ダイヤル休日夜間事業業務委託企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0705/toitudaialkikakuteian.html,2026-05-02
埼玉県,令和8年度カーボンニュートラル推進分科会運営業務公募型プロポーザルの実施について(質問への回答を掲載しました),https://www.pref.saitama.lg.jp/a0502/cn-suishin-session/r8itaku-proposal-cn.html,2026-05-02
埼玉県,【募集終了】令和7年度埼玉県こころの健康相談統一ダイヤル休日・夜間事業業務に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0705/toitudaialkikakuteian/r7.html,2026-05-02
埼玉県,健康経営推進体制強化業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0202/kenkokanri/kenkoukeiei.html,2026-05-02
埼玉県,渋沢ＭＩＸ戦略策定支援業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0803/shibusawa-mix/senryakusakuteishien.html,2026-05-02
埼玉県,【募集終了】サーキュラーエコノミースタートアップビジネスプランコンテスト運営等業務委託の企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0812/r8_csup.html,2026-05-02
埼玉県,【募集終了】令和8年度障害者の差別解消及び権利擁護相談窓口等業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0604/sabetu/r8sabetukaiysoukikakuteian.html,2026-05-02
埼玉県,コバトンALKOOマイレージコールセンター業務に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0704/kenko/mileage/callcenter/2026.html,2026-05-02
埼玉県,【委託候補者の決定】ねんりんピック彩の国さいたま2026広報業務委託公募型プロポーザルの実施について,https://www.pref.saitama.lg.jp/b0617/nenrin/080224.html,2026-05-02
